County,State,Thousand Dry Tonnes/Yr
Spalding,Georgia,5.8254
Stephens,Georgia,4.3234
Stewart,Georgia,31.838
Sonoma,California,4.2851
Stanislaus,California,0
Brown,Illinois,3.6642
Bureau,Illinois,0.30663
Calhoun,Illinois,1.9241
Owsley,Kentucky,8.2341
Pendleton,Kentucky,0.11675
Perry,Kentucky,22.961
Pike,Kentucky,32.485
Powell,Kentucky,8.467
Pulaski,Kentucky,46.721
Robertson,Kentucky,4.7545
Rockcastle,Kentucky,8.5054
Rowan,Kentucky,10.875
Woodruff,Arkansas,4.8324
Yell,Arkansas,40.138
Alameda,California,0
St. James,Louisiana,5.0086
Jackson,Colorado,0.31429
Jefferson,Colorado,0
Kiowa,Colorado,0
Kit Carson,Colorado,0
Lake,Colorado,0
Henry,Illinois,2.361
Ouray,Colorado,0
Park,Colorado,0.13798
Jackson,Illinois,2.0774
Saguache,Colorado,0.15331
Genesee,Michigan,5.8572
Pasco,Florida,3.9248
Pinellas,Florida,0
Polk,Florida,2.5603
Putnam,Florida,32.397
St. Johns,Florida,89.2
St. Lucie,Florida,0
Santa Rosa,Florida,17.201
McHenry,Illinois,3.0126
McLean,Illinois,11.429
Macon,Illinois,0.022997
Macoupin,Illinois,2.4837
Madison,Illinois,0.67458
Clay,Georgia,4.7486
Clayton,Georgia,0.48412
Clinch,Georgia,74.959
Cobb,Georgia,0.56019
Coffee,Georgia,27.052
Mason,Illinois,1.9931
Clearwater,Idaho,73.709
Custer,Idaho,0.34496
Elmore,Idaho,0.068991
Franklin,Idaho,0
Fremont,Idaho,0.45994
Gem,Idaho,0
Gooding,Idaho,0
Idaho,Idaho,32.025
Jefferson,Idaho,0
Ogle,Illinois,4.0929
Peoria,Illinois,0.90455
Perry,Illinois,2.7443
Monroe,Mississippi,39.898
Montgomery,Mississippi,18.713
Wayne,Georgia,37.255
McCreary,Kentucky,14.159
Pike,Illinois,18.97
Pope,Illinois,0.45228
Pulaski,Illinois,1.6328
Bates,Missouri,0.8674
Bonneville,Idaho,0.42161
McLean,Kentucky,10.197
Madison,Kentucky,0.50417
Magoffin,Kentucky,9.9826
Marion,Kentucky,10.286
Randolph,Illinois,2.1004
Richland,Illinois,2.7597
Rock Island,Illinois,1.7861
St. Clair,Illinois,2.292
Franklin,Missouri,3.5186
Gasconade,Missouri,4.4998
Caribou,Idaho,1.3875
Cassia,Idaho,0
Sangamon,Illinois,0.40628
Schuyler,Illinois,6.3312
Platte,Missouri,0.8845
Teton,Idaho,0.0076657048
Twin Falls,Idaho,0
Valley,Idaho,27.231
Shelby,Illinois,3.1429
Owen,Kentucky,1.5432
Christian,Illinois,0.0076657048
Tazewell,Illinois,0.49827
Caddo,Louisiana,45.103
Jefferson Davis,Louisiana,4.3022
Lafayette,Louisiana,0.050122
Lafourche,Louisiana,6.4227
La Salle,Louisiana,50.749
Lincoln,Louisiana,24.854
Washington,Illinois,1.6865
St. Bernard,Louisiana,0
St. Charles,Louisiana,0
St. Helena,Louisiana,47.125
Allen,Indiana,8.5679
Bartholomew,Indiana,2.2614
Anne Arundel,Maryland,2.8056
Baltimore,Maryland,6.4757
Calvert,Maryland,4.3388
Caroline,Maryland,2.5833
Carroll,Maryland,1.8704
Berkshire,Massachusetts,3.5952
Bristol,Massachusetts,0.23764
Dukes,Massachusetts,10.777
Essex,Massachusetts,1.4465
Franklin,Massachusetts,13.714
Hampden,Massachusetts,16.724
Norfolk,Massachusetts,0.099654
Fulton,Illinois,4.8324
Alger,Michigan,26.494
Clark,Indiana,7.0524
Lake,Illinois,4.6973
La Salle,Illinois,0.05366
Crawford,Indiana,11.133
Daviess,Indiana,4.4231
Dearborn,Indiana,2.7957
Eaton,Michigan,0.95821
Emmet,Michigan,6.1562
Williamson,Illinois,0.87389
Winnebago,Illinois,0.45994
Dubois,Indiana,9.0455
Floyd,Indiana,2.729
Fountain,Indiana,1.5485
Valley,Montana,0
Wheatland,Montana,0.41395
Wibaux,Montana,0
Yellowstone,Montana,8.1846
Adams,Nebraska,0.23764
Fulton,Indiana,0.7819
Gibson,Indiana,2.683
Plymouth,Iowa,0.20697
Crawford,Kansas,4.5588
Hamilton,Indiana,0.43695
Hancock,Indiana,0.36795
Harrison,Indiana,11.039
Hendricks,Indiana,0.36029
Barren,Kentucky,21.34
Bath,Kentucky,2.1175
Nicholas,Kentucky,0
Beauregard,Louisiana,84.898
Bienville,Louisiana,73.639
Bossier,Louisiana,64.94
Jackson,Indiana,18.415
Cheboygan,Michigan,9.1812
Marquette,Michigan,73.428
Mason,Michigan,5.208
Jefferson,Indiana,4.998
Jennings,Indiana,9.075
Johnson,Indiana,1.3798
Knox,Indiana,2.3764
Montcalm,Michigan,1.6788
Becker,Minnesota,13.12
Beltrami,Minnesota,62.424
Lake,Indiana,0.29896
LaPorte,Indiana,7.6538
Lake of the Woods,Minnesota,25.794
Le Sueur,Minnesota,0.33729
Madison,Indiana,0.37562
Marion,Indiana,0.42928
Kearney,Nebraska,0.22997
Hunterdon,New Jersey,0.44461
Mercer,New Jersey,0.42928
Middlesex,New Jersey,4.2014
Monmouth,New Jersey,8.7943
Morris,New Jersey,0.45228
Ocean,New Jersey,0.44461
Passaic,New Jersey,0
Salem,New Jersey,0
Rockland,New York,0.13032
St. Lawrence,New York,22.291
Saratoga,New York,52.994
Schenectady,New York,1.0962
Schoharie,New York,2.8056
Schuyler,New York,2.2154
Seneca,New York,0.59792
Monroe,Indiana,21.44
Alexander,North Carolina,12.338
Alleghany,North Carolina,12.897
Anson,North Carolina,58.506
Ashe,North Carolina,22.762
Morgan,Indiana,9.8416
Avery,North Carolina,2.647
Bladen,North Carolina,54.503
Ohio,Indiana,0.37562
Haywood,North Carolina,23.697
Henderson,North Carolina,12.713
Owen,Indiana,11.658
Parke,Indiana,10.632
Perry,Indiana,9.075
Pike,Indiana,4.1778
Porter,Indiana,1.2572
Posey,Indiana,1.6558
Martin,North Carolina,78.356
Mecklenburg,North Carolina,7.1167
Mitchell,North Carolina,8.4559
Montgomery,North Carolina,54.479
Moore,North Carolina,63.95
Putnam,Indiana,9.0514
Orange,North Carolina,15.001
Rush,Indiana,0.49827
St. Joseph,Indiana,5.8071
Scott,Indiana,3.1659
Union,North Carolina,14.065
Spencer,Indiana,3.9325
Starke,Indiana,0.85856
Baker,Oregon,7.99
Sullivan,Indiana,3.6719
Switzerland,Indiana,0.5136
Tippecanoe,Indiana,0.52127
Benton,Oregon,50.34
Clackamas,Oregon,58.106
Clatsop,Oregon,222.07
Union,Oregon,32.196
Wallowa,Oregon,27.95
Wasco,Oregon,21.57
Washington,Oregon,69.227
Vanderburgh,Indiana,1.1115
Vermillion,Indiana,1.1882
Vigo,Indiana,3.7485
Florence,South Carolina,105.67
Georgetown,South Carolina,81.997
Greenville,South Carolina,26.281
Greenwood,South Carolina,42.877
Warren,Indiana,1.0809
Warrick,Indiana,4.5688
Washington,Indiana,21.635
Kershaw,South Carolina,73.774
Wells,Indiana,16.989
White,Indiana,0.85856
Saluda,South Carolina,42.363
Spartanburg,South Carolina,39.277
Sumter,South Carolina,73.796
Crockett,Tennessee,0
Cumberland,Tennessee,29.583
Davidson,Tennessee,0.5419
Greene,Tennessee,4.5134
Grundy,Tennessee,32.191
Hamblen,Tennessee,1.1764
Smith,Mississippi,23.258
Kane,Utah,0.0076657048
Millard,Utah,0
Morgan,Utah,0.068991
Piute,Utah,0
Benton,Iowa,1.9689
Buchanan,Virginia,7.0813
Buckingham,Virginia,122.22
Campbell,Virginia,88.693
Caroline,Virginia,32.342
Carroll,Virginia,27.846
Gloucester,Virginia,13.83
Goochland,Virginia,2.9831
Grayson,Virginia,12.708
Greene,Virginia,1.8734
Barton,Missouri,5.32
Buchanan,Iowa,0.022997
Highland,Virginia,39.2
Isle of Wight,Virginia,23.29
Mecklenburg,Virginia,59.434
Middlesex,Virginia,4.4373
Montgomery,Virginia,13.956
Nelson,Virginia,38.342
Russell,Virginia,7.6817
Scott,Virginia,16.778
Shenandoah,Virginia,14.26
Smyth,Virginia,12.159
Southampton,Virginia,82.651
Carroll,Iowa,0
Dunklin,Missouri,0.47527
Johnson,Missouri,1.5249
Phelps,Missouri,12.324
Pike,Missouri,4.0322
Carter,Montana,0
Cascade,Montana,0.19931
Glacier,Montana,0
Golden Valley,Montana,0.97354
Petroleum,Montana,0.084323
Phillips,Montana,0
Pondera,Montana,0
Douglas,Nebraska,0.66692
Clayton,Iowa,9.3404
Clinton,Iowa,0.83556
Crawford,Iowa,0
Dallas,Iowa,0
Saunders,Nebraska,2.0467
Clark,Nevada,0
Mineral,Nevada,0
Nye,Nevada,0
Des Moines,Iowa,1.6098
Fulton,New York,5.8666
Genesee,New York,0.92755
Dubuque,Iowa,4.1318
Duplin,North Carolina,38.877
Durham,North Carolina,10.249
Edgecombe,North Carolina,35.969
Fayette,Iowa,0.83556
Carroll,Ohio,3.5722
Pike,Ohio,12.041
Fremont,Iowa,0.030663
Roger Mills,Oklahoma,0
Jackson,Oregon,45.729
Jefferson,Oregon,6.8343
Josephine,Oregon,10.738
Perry,Pennsylvania,17.637
Philadelphia,Pennsylvania,0.13032
Venango,Pennsylvania,21.063
Westmoreland,Pennsylvania,11.799
Harrison,Iowa,1.3669
Chouteau,Montana,0
Custer,Montana,0
Anderson,South Carolina,21.101
Bamberg,South Carolina,49.104
Barnwell,South Carolina,38.271
Howard,Iowa,0.2453
Granite,Montana,1.6941
Hill,Montana,0.42161
Jefferson,Montana,1.7248
Judith Basin,Montana,0.05366
Lake,Montana,13.745
Lewis and Clark,Montana,14.671
Clay,South Dakota,0.030663
Iowa,Iowa,4.2881
Jackson,Iowa,2.3994
Antelope,Nebraska,0.20697
Mellette,South Dakota,0
Bledsoe,Tennessee,21.23
Blount,Tennessee,4.1395
Bradley,Tennessee,10.698
Campbell,Tennessee,22.851
Johnson,Iowa,0.13798
McMinn,Tennessee,23.703
McNairy,Tennessee,42.289
Scott,Tennessee,23.11
Sequatchie,Tennessee,12.416
Sevier,Tennessee,2.068
Shelby,Tennessee,11.759
Smith,Tennessee,8.0685
Kossuth,Iowa,0.068991
Lee,Iowa,3.3116
Linn,Iowa,13.203
Williamson,Tennessee,3.3192
Wilson,Tennessee,2.3923
Jasper,Texas,83.071
Lyon,Iowa,0
Grand Isle,Vermont,0.015331
Lamoille,Vermont,8.0726
Mahaska,Iowa,0.81256
Burnett,Wisconsin,16.139
Calumet,Wisconsin,0.22997
Dodge,Wisconsin,1.5025
Klickitat,Washington,42.952
Lewis,Washington,178.67
Lincoln,Washington,0.21464
Mason,Washington,53.3
Okanogan,Washington,15.868
Pacific,Washington,101.89
Dorado,Puerto Rico,0
Fajardo,Puerto Rico,0
Monona,Iowa,13.657
Monroe,Iowa,1.2802
Mineral,West Virginia,6.2977
Mingo,West Virginia,6.1562
Monongalia,West Virginia,21.075
Muscatine,Iowa,0.43695
Monroe,West Virginia,11.145
Morgan,West Virginia,4.5764
Nicholas,West Virginia,22.514
Tucker,West Virginia,26.73
Tyler,West Virginia,2.8593
Upshur,West Virginia,23.192
Bayfield,Wisconsin,37.196
Toa Alta,Puerto Rico,0
Toa Baja,Puerto Rico,0
Trujillo Alto,Puerto Rico,0
Utuado,Puerto Rico,0
Polk,Iowa,0
Pottawattamie,Iowa,38.427
Yauco,Puerto Rico,0
Natrona,Wyoming,0.015331
Niobrara,Wyoming,0
Park,Wyoming,1.9241
Sac,Iowa,0
Scott,Iowa,0.12265
Platte,Wyoming,0
Sioux,Iowa,0
Naranjito,Puerto Rico,0
Orocovis,Puerto Rico,0
Patillas,Puerto Rico,0
Penuelas,Puerto Rico,0
Ponce,Puerto Rico,0
Quebradillas,Puerto Rico,0
Tama,Iowa,1.1192
Wapello,Iowa,5.0558
Warren,Iowa,0.52775
Washington,Iowa,3.8871
Woodbury,Iowa,0.50594
Atchison,Kansas,0.13798
Barton,Kansas,0
Bourbon,Kansas,0.36795
Clay,Kansas,2.7184
Cloud,Kansas,0
Coffey,Kansas,0.0076657048
Ellis,Kansas,0
Ellsworth,Kansas,0
Finney,Kansas,0
Franklin,Kansas,0.045994
Geary,Kansas,0
Graham,Kansas,0
Greenwood,Kansas,0.0076657048
Hamilton,Kansas,0
Harvey,Kansas,0.0076657048
Jackson,Kansas,2.6441
Jefferson,Kansas,0.022997
Jewell,Kansas,0.0076657048
Johnson,Kansas,0.068991
Labette,Kansas,0.73945
Leavenworth,Kansas,1.6204
Lyon,Kansas,0.061326
Marion,Kansas,0
Marshall,Kansas,1.2554
Miami,Kansas,0.030663
Mitchell,Kansas,0
Montgomery,Kansas,0.69758
Nemaha,Kansas,0
Neosho,Kansas,2.203
Ness,Kansas,0
Osage,Kansas,0.038329
Reno,Kansas,0.0076657048
Republic,Kansas,0
Russell,Kansas,0
Saline,Kansas,0
Sedgwick,Kansas,0.0076657048
Shawnee,Kansas,0.13798
Stanton,Kansas,0
Sumner,Kansas,0
Trego,Kansas,0
Wabaunsee,Kansas,0.061326
Wallace,Kansas,0
Washington,Kansas,6.8719
Wilson,Kansas,0.43695
Wyandotte,Kansas,0
Campbell,Kentucky,0.31607
Carlisle,Kentucky,25.698
Carroll,Kentucky,1.2749
Carter,Kentucky,26.1
Casey,Kentucky,56.113
Christian,Kentucky,27.575
Clark,Kentucky,0
Clay,Kentucky,5.8879
Elliott,Kentucky,7.2105
Estill,Kentucky,16.824
Fayette,Kentucky,0.5425
Fleming,Kentucky,6.9528
Floyd,Kentucky,13.188
Lyon,Kentucky,8.5856
Martin,Kentucky,12.59
Meade,Kentucky,9.5321
Menifee,Kentucky,8.5914
Mercer,Kentucky,0.27243
Scott,Kentucky,0
Shelby,Kentucky,1.5331
Spencer,Kentucky,2.5414
Taylor,Kentucky,15.209
Gogebic,Michigan,23.145
Grand Traverse,Michigan,6.5689
Houghton,Michigan,33.476
Huron,Michigan,0.36029
Ingham,Michigan,1.2112
Iosco,Michigan,14.292
Iron,Michigan,38.912
Isabella,Michigan,2.9436
Jackson,Michigan,2.0314
Kalkaska,Michigan,12.124
Kent,Michigan,3.6578
Keweenaw,Michigan,15.455
Muskegon,Michigan,4.6218
Newaygo,Michigan,13.385
Oakland,Michigan,14.854
Oceana,Michigan,8.3969
Ogemaw,Michigan,4.2391
Ontonagon,Michigan,27.703
Otsego,Michigan,18.022
Ottawa,Michigan,3.0203
Presque Isle,Michigan,5.4987
Roscommon,Michigan,5.7286
Saginaw,Michigan,1.0349
St. Clair,Michigan,2.9619
Sanilac,Michigan,0.59026
Carver,Minnesota,0.32963
Cass,Minnesota,63.979
Chippewa,Minnesota,0.045994
Chisago,Minnesota,1.1805
Crow Wing,Minnesota,22.384
Dakota,Minnesota,0.16098
Fillmore,Minnesota,5.5447
Goodhue,Minnesota,11.347
Hennepin,Minnesota,0.67576
Marshall,Minnesota,0.72058
Meeker,Minnesota,0.076657
Mille Lacs,Minnesota,4.3848
Morrison,Minnesota,3.3027
Nicollet,Minnesota,0.52893
Norman,Minnesota,0.25297
Olmsted,Minnesota,1.8398
Pine,Minnesota,37.582
Polk,Minnesota,7.2653
Ramsey,Minnesota,0.10732
Redwood,Minnesota,0.099654
Renville,Minnesota,0.084323
Rice,Minnesota,0.23764
Roseau,Minnesota,7.3001
St. Louis,Minnesota,156.91
Scott,Minnesota,0.62859
Sherburne,Minnesota,0.17631
Sibley,Minnesota,0.068991
Stearns,Minnesota,0.50594
Keith,Nebraska,0
Keya Paha,Nebraska,0.13032
Washington,Minnesota,5.9015
Scotts Bluff,Nebraska,0
Seward,Nebraska,0.022997
Sheridan,Nebraska,0
Amite,Mississippi,63.703
Attala,Mississippi,28.01
Somerset,New Jersey,0.52893
Sussex,New Jersey,0.015331
Union,New Jersey,0
Bolivar,Mississippi,18.852
McKinley,New Mexico,0
Mora,New Mexico,0.099654
Brunswick,North Carolina,57.056
Buncombe,North Carolina,15.302
Burke,North Carolina,26.168
Cabarrus,North Carolina,8.0142
Caldwell,North Carolina,15.817
Camden,North Carolina,18.173
Carteret,North Carolina,14.438
Jefferson,Mississippi,25.214
Jefferson Davis,Mississippi,16.192
Pamlico,North Carolina,30.929
Pasquotank,North Carolina,11.56
Lafayette,Mississippi,15.214
Holmes,Ohio,18.84
Huron,Ohio,0.65925
Portage,Ohio,5.856
Haskell,Oklahoma,0.75183
Hughes,Oklahoma,0.39626
Jackson,Oklahoma,0
Jefferson,Oklahoma,0
Lee,Mississippi,4.8736
Leflore,Mississippi,4.5871
Kingfisher,Oklahoma,0
Kiowa,Oklahoma,0
Wheeler,Oregon,2.499
Yamhill,Oregon,40.699
Adams,Pennsylvania,25.981
Allegheny,Pennsylvania,2.7443
Armstrong,Pennsylvania,12.619
Beaver,Pennsylvania,0.55193
Bedford,Pennsylvania,23.31
Berks,Pennsylvania,7.8013
Blair,Pennsylvania,6.7281
Bradford,Pennsylvania,20.175
Bucks,Pennsylvania,0.81256
Pike,Pennsylvania,4.4538
Union,South Carolina,56.067
Williamsburg,South Carolina,62.155
York,South Carolina,33.695
Custer,South Dakota,9.7119
Sunflower,Mississippi,0.57433
Tallahatchie,Mississippi,4.5977
Tate,Mississippi,6.1237
Hamilton,Tennessee,13.415
Hancock,Tennessee,3.9649
Hardeman,Tennessee,33.958
Hardin,Tennessee,53.235
Hawkins,Tennessee,9.7649
Haywood,Tennessee,3.0598
Henderson,Tennessee,19.271
Henry,Tennessee,14.29
Hickman,Tennessee,32.021
Tishomingo,Mississippi,31.587
Tunica,Mississippi,1.2242
Anderson,Texas,38.88
Jeff Davis,Texas,0
Jefferson,Texas,0.8621
Warren,Mississippi,29.944
Washington,Mississippi,10.573
Val Verde,Texas,0
Van Zandt,Texas,0.98239
Victoria,Texas,0
Walker,Texas,12.731
Waller,Texas,0.13858
Rich,Utah,0
Salt Lake,Utah,0.015331
San Juan,Utah,1.3492
Sanpete,Utah,0.084323
Sevier,Utah,0.46761
Summit,Utah,0.91988
Tooele,Utah,0
Uintah,Utah,0.2453
Utah,Utah,0.31429
Wasatch,Utah,1.2495
Washington,Utah,0.42928
Wayne,Utah,0
Weber,Utah,0
Chariton,Missouri,2.7213
Christian,Missouri,4.9674
Clark,Missouri,5.1054
Clay,Missouri,0.084323
Clinton,Missouri,0.10732
Cole,Missouri,4.0044
Greene,Missouri,3.3281
Bristol,Virginia,0
Henry,Missouri,15.097
Holt,Missouri,2.8021
Howell,Missouri,21.24
Laclede,Missouri,1.7861
Lafayette,Missouri,0.38329
Lawrence,Missouri,3.9785
Lincoln,Missouri,3.2809
Linn,Missouri,0.70524
Livingston,Missouri,1.4182
Maries,Missouri,3.6719
Marion,Missouri,0.68225
Miller,Missouri,7.0466
Mississippi,Missouri,0.015331
Montgomery,Missouri,2.6293
Morgan,Missouri,10.168
New Madrid,Missouri,0.57493
Putnam,Missouri,4.6154
Ralls,Missouri,2.844
Ray,Missouri,0.5136
St. Charles,Missouri,0.77424
St. Clair,Missouri,1.0502
Ste. Genevieve,Missouri,3.7945
Taney,Missouri,6.0217
Texas,Missouri,26.818
Vernon,Missouri,8.4037
Warren,Missouri,11.916
Washington,Missouri,16.87
Webster,Missouri,4.3977
Boone,Nebraska,0.084323
Box Butte,Nebraska,0
Boyd,Nebraska,0
Brown,Nebraska,0.045994
Buffalo,Nebraska,0.2453
Burt,Nebraska,0.022997
Butler,Nebraska,0.015331
Cass,Nebraska,0
Cedar,Nebraska,0.49061
Chase,Nebraska,0
Cherry,Nebraska,0.038329
Cheyenne,Nebraska,0
Clay,Nebraska,0
Colfax,Nebraska,0.28363
Cuming,Nebraska,0.061326
Dawes,Nebraska,0.0076657048
Dawson,Nebraska,0
Fillmore,Nebraska,0
Franklin,Nebraska,0.23764
Frontier,Nebraska,0
Furnas,Nebraska,0
Gage,Nebraska,0.045994
Garden,Nebraska,0
Gosper,Nebraska,0
Hamilton,Nebraska,0
Harlan,Nebraska,0
Holt,Nebraska,3.3434
Knox,Nebraska,0.084323
Lancaster,Nebraska,0.33729
Lincoln,Nebraska,0.022997
Madison,Nebraska,0.30663
Merrick,Nebraska,0.13798
Morrill,Nebraska,0
Nance,Nebraska,0.091988
Nemaha,Nebraska,0.022997
Nuckolls,Nebraska,0
Otoe,Nebraska,0.015331
Pawnee,Nebraska,0.0076657048
Perkins,Nebraska,0
Phelps,Nebraska,0
Pierce,Nebraska,0.2453
Platte,Nebraska,0.14565
Polk,Nebraska,0.13798
Sioux,Nebraska,0
Stanton,Nebraska,0.10732
Thayer,Nebraska,0
Thurston,Nebraska,0.015331
Hampton,Virginia,0
Washington,Nebraska,0.0076657048
Wayne,Nebraska,0.42928
Webster,Nebraska,0.23764
Pitt,North Carolina,51.631
Polk,North Carolina,28.736
Randolph,North Carolina,61.54
Richmond,North Carolina,33.208
Robeson,North Carolina,42.097
Rowan,North Carolina,33.675
Rutherford,North Carolina,71.091
Sampson,North Carolina,41.594
Scotland,North Carolina,12.442
Burleigh,North Dakota,0.015331
Cass,North Dakota,0
Dunn,North Dakota,0
Emmons,North Dakota,0
Grand Forks,North Dakota,0
Grant,North Dakota,0
Kidder,North Dakota,0
LaMoure,North Dakota,0
McKenzie,North Dakota,0
McLean,North Dakota,0
Oliver,North Dakota,0
Pembina,North Dakota,5.0502
Ramsey,North Dakota,0
Richland,North Dakota,0.099654
Sioux,North Dakota,0
Stark,North Dakota,0
Stutsman,North Dakota,0
Traill,North Dakota,0.22997
Walsh,North Dakota,0
Ward,North Dakota,0
Williams,North Dakota,0
Adams,Ohio,5.0364
Allen,Ohio,1.0272
Ashland,Ohio,4.1366
Ashtabula,Ohio,5.882
Columbiana,Ohio,0.73591
Coshocton,Ohio,22.071
Crawford,Ohio,0.68991
Cuyahoga,Ohio,15.41
Defiance,Ohio,0.40628
Franklin,Ohio,0.022997
Gallia,Ohio,10.761
Geauga,Ohio,7.6126
Greene,Ohio,4.1395
Guernsey,Ohio,12.389
Hamilton,Ohio,0.099654
Hancock,Ohio,0.2683
Hardin,Ohio,0.091988
Harrison,Ohio,7.6237
Highland,Ohio,2.6788
Jefferson,Ohio,11.171
Knox,Ohio,1.4772
Lake,Ohio,2.1157
Lawrence,Ohio,2.4454
Licking,Ohio,4.4786
Lorain,Ohio,0.19164
Lucas,Ohio,0.27597
Madison,Ohio,0.038329
Mahoning,Ohio,3.2196
Medina,Ohio,6.4333
Meigs,Ohio,8.0667
Monroe,Ohio,0.91222
Montgomery,Ohio,0
Morgan,Ohio,4.8141
Muskingum,Ohio,6.9935
Noble,Ohio,10.189
Ottawa,Ohio,0.030663
Putnam,Ohio,0
Richland,Ohio,2.4047
Ross,Ohio,42.94
Sandusky,Ohio,1.7401
Scioto,Ohio,26.8
Stark,Ohio,5.9391
Summit,Ohio,6.4339
Trumbull,Ohio,10.172
Tuscarawas,Ohio,22.054
Warren,Ohio,5.8961
Washington,Ohio,12.731
Wayne,Ohio,8.1728
Wood,Ohio,0.30663
Wyandot,Ohio,0.068991
Atoka,Oklahoma,7.2382
Beaver,Oklahoma,0
Blaine,Oklahoma,0
Bryan,Oklahoma,5.3017
Caddo,Oklahoma,0
Cleveland,Oklahoma,0
Comanche,Oklahoma,0
Cotton,Oklahoma,0
Creek,Oklahoma,0
Ellis,Oklahoma,0
Garfield,Oklahoma,0.013562
Garvin,Oklahoma,0
Grady,Oklahoma,0
Greer,Oklahoma,0
Le Flore,Oklahoma,21.588
Lincoln,Oklahoma,0
Marshall,Oklahoma,0
Murray,Oklahoma,0
Muskogee,Oklahoma,0
Noble,Oklahoma,0
Okfuskee,Oklahoma,0
Oklahoma,Oklahoma,0
Okmulgee,Oklahoma,0
Osage,Oklahoma,0
Carbon,Pennsylvania,1.5025
Centre,Pennsylvania,19.901
Chester,Pennsylvania,6.2564
Clarion,Pennsylvania,13.922
Clearfield,Pennsylvania,45.011
Clinton,Pennsylvania,13.132
Columbia,Pennsylvania,13.238
Crawford,Pennsylvania,12.831
Cumberland,Pennsylvania,5.422
Dauphin,Pennsylvania,7.0466
